Airline_ID,Name,IATA,ICAO
1943,Cyprus Turkish Airlines,YK,
1946,Czech Airlines,OK,CSA
1954,DAT Danish Air Transport,DX,DTR
1966,Daallo Airlines,D3,DAO
1973,Dalavia,H8,KHB
1983,Darwin Airline,0D,DWT
2006,Delta Aerotaxi,,DEA
2009,Delta Air Lines,DL,DAL
2013,Denim Air,,DNM
2021,Deutsche Bahn,2A,
2041,Djibouti Airlines,D8,DJB
2042,Dniproavia,,UDN
2047,Dominicana de Aviaci,DO,DOA
2048,Domodedovo Airlines,E3,DMO
2051,DonbassAero,5D,UDC
2056,Dragonair,KA,HDA
2058,Druk Air,KB,DRK
2061,Dubrovnik Air,,DBK
2070,Dutch Antilles Express,,DNL
2077,dba,DI,BAG
2091,EVA Air,BR,EVA
2094,Eagle Air,H7,
2104,East African,QU,UGX
2117,Eastern Airways,T3,EZE
2125,Eastland Air,DK,ELA
2137,Ecuavia,,ECU
2138,Edelweiss Air,WK,EDW
2143,Egyptair,MS,MSR
2150,El Al Israel Airlines,LY,ELY
2155,El-Buraq Air Transport,UZ,BRQ
2183,Emirates,EK,UAE
2193,Empresa Ecuatoriana De Aviacion,EU,EEA
2213,Eritrean Airlines,B8,ERT
2218,Estonian Air,OV,ELL
2220,Ethiopian Airlines,ET,ETH
2222,Etihad Airways,EY,ETD
2226,Euro Exec Express,RZ,
2237,Eurocypria Airlines,UI,ECA
2239,Eurofly Service,GJ,EEU
2245,Eurolot,K2,ELO
2251,European Air Express,EA,EAL
2260,Eurowings,EW,EWG
2261,Evergreen International Airlines,EZ,EIA
2264,Excel Airways,JN,XLA
2265,Excel Charter,,XEL
2293,Express One International,EO,LHN
2295,ExpressJet,XE,BTA
2297,easyJet,U2,EZY
2324,Far Eastern Air Transport,EF,EFA
2350,Finnair,AY,FIN
2351,Finncomm Airlines,FC,WBA
2353,Firefly,FY,FFM
2354,First Air,7F,FAB
2357,First Choice Airways,DP,FCA
2395,Flightline,B5,FLT
2404,Florida West International Airways,RF,FWL
2417,AirAsia X,D7,XAX
2418,FlyLal,TE,LIL
2419,FlyNordic,LF,NDC
2420,Flybaboo,F7,BBO
2421,Flybe,BE,BEE
2425,Flyglobespan,B4,GSM
2429,Flyhy Cargo Airlines,,FYH
2439,Formosa Airlines,VY,FOS
2454,Freedom Air,FP,FRE
2456,Freedom Airlines,,FRL
2468,Frontier Airlines,F9,FFT
2470,Frontier Flying Service,2F,FTA
2486,GB Airways,GT,GBL
2520,Garuda Indonesia,GA,GIA
2524,Gazpromavia,4G,GZP
2538,Georgian Airways,A9,TGZ
2541,Georgian National Airlines,QB,GFG
2547,Germania,ST,GMI
2548,Germanwings,4U,GWI
